ID	Name	Matches	
RXN-23723	&alpha;-1,6-D mannobiose + H<sub>2</sub>O  &rarr;  2 D-mannopyranose	CPD-13935, D-mannopyranose, WATER	
RXN-12023	&alpha;-3',4'-anhydrovinblastine + H<sub>2</sub>O  &rarr;  vinblastine	CPD-13001, WATER, CPD-7858	
RXN-20001	&alpha;-3',4'-anhydrovinblastine radical + a reduced two electron carrier  &rarr;  &alpha;-3',4'-anhydrovinblastine + an oxidized electron carrier	CPD-13001, CPD-21576, Donor-H2	
RXN-20205	&alpha;-<i>N</i>-dichloroacetyl-<i>p</i>-aminophenylserinol + a reduced two electron carrier + 2 dioxygen  &rarr;  chloramphenicol + an oxidized electron carrier + 2 H<sub>2</sub>O	CPD-21781, Donor-H2, CHLORAMPHENICOL, OXYGEN-MOLECULE, WATER	
TRANS-RXN-431	&alpha;-Abe-(1&rarr;3)-&alpha;-D-Man-(1&rarr;4)-&alpha;-L-Rha-(1&rarr;3)-&alpha;-D-Gal-PP-Und<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[periplasm]</sub>  &rarr;  &alpha;-Abe-(1&rarr;3)-&alpha;-D-Man-(1&rarr;4)-&alpha;-L-Rha-(1&rarr;3)-&alpha;-D-Gal-PP-Und<sub>[periplasm]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>	CPD-23725, PROTON	
TRANS-RXN-432	&alpha;-Abe-(1&rarr;3)-2OAc-&alpha;-L-Rha-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Gal-PP-Und<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[periplasm]</sub>  &rarr;  &alpha;-Abe-(1&rarr;3)-2OAc-&alpha;-L-Rha-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Gal-PP-Und<sub>[periplasm]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>	CPD-23734, PROTON	
RXN-20979	&alpha;-acetyldigitoxin + H<sub>2</sub>O  &rarr;  digitoxin + acetate + H<SUP>+</SUP>	CPD-22612, ACET, CPD-22577, WATER, PROTON	
RXN-13508	&alpha;-amyrin + 3 a reduced [NADPH-hemoprotein reductase] + 3 dioxygen  &rarr;  ursolate + 3 an oxidized [NADPH-hemoprotein reductase] + 4 H<sub>2</sub>O + H<SUP>+</SUP>	CPD-8250, OXYGEN-MOLECULE, WATER, PROTON, CPD-14496	
RXN-13500	&alpha;-amyrin + a reduced [NADPH-hemoprotein reductase] + dioxygen  &rarr;  uvaol + an oxidized [NADPH-hemoprotein reductase] + H<sub>2</sub>O	CPD-8250, OXYGEN-MOLECULE, WATER, CPD-14494	
RXN-12226	&alpha;-carotene + a reduced [NADPH-hemoprotein reductase] + dioxygen  &rarr;  &alpha;-cryptoxanthin + an oxidized [NADPH-hemoprotein reductase] + H<sub>2</sub>O	CPD1F-118, CPD-7421, OXYGEN-MOLECULE, WATER	
RXN-5961	&alpha;-carotene + NADPH + H<SUP>+</SUP> + dioxygen  &rarr;  zeinoxanthin + NADP<sup>+</sup> + H<sub>2</sub>O	CPD1F-118, OXYGEN-MOLECULE, WATER, PROTON, NADP, NADPH, CPD-5661	
RXN18C3-22	&alpha;-cembratriene-ol + NAD(P)H + dioxygen + H<SUP>+</SUP>  &rarr;  &alpha;-cembratriene-4,6-diol + NAD(P)<sup>+</sup> + H<sub>2</sub>O	CPD-18857, CPD-18854, OXYGEN-MOLECULE, WATER, PROTON, NAD-P-OR-NOP, NADH-P-OR-NOP	
RXN-15836	&alpha;-cyclopiazonate + a reduced [NADPH-hemoprotein reductase] + dioxygen  &rarr;  2-oxocyclopiazonate + an oxidized [NADPH-hemoprotein reductase] + H<sub>2</sub>O	ALPHA-CYCLOPIAZONATE, CPD-17093, OXYGEN-MOLECULE, WATER	
RXN-22135	&alpha;-D-Col-(1&rarr;3)-[&alpha;-D-Col-(1&rarr;6)-]-&alpha;-D-Glc-(1&rarr;4)-&alpha;-D-Gal-(1&rarr;3)-&alpha;-D-GlcNAc-PP-Und<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[periplasm]</sub>  &rarr;  &alpha;-D-Col-(1&rarr;3)-[&alpha;-D-Col-(1&rarr;6)-]-&alpha;-D-Glc-(1&rarr;4)-&alpha;-D-Gal-(1&rarr;3)-&alpha;-D-GlcNAc-PP-Und<sub>[periplasm]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>	CPD-23781, PROTON	
RXN-22291	&alpha;-D-Fuc3NAc-(1&rarr;2)-&alpha;-L-Rha-(1&rarr;2)-&alpha;-L-Rha-(1&rarr;3)-&beta;-L-Rha-(1&rarr;4)-&alpha;-D-GlcNAc-PP-Und<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[periplasm]</sub>  &rarr;  &alpha;-D-Fuc3NAc-(1&rarr;2)-&alpha;-L-Rha-(1&rarr;2)-&alpha;-L-Rha-(1&rarr;3)-&beta;-L-Rha-(1&rarr;4)-&alpha;-D-GlcNAc-PP-Und<sub>[periplasm]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>	CPD-24291, PROTON	
RXN-22044	&alpha;-D-Fuc4NAc-(1&rarr;4)-&beta;-D-ManNAcA-(1&rarr;4)-GlcNAc-PP-Und + (enterobacterial common antigen)<sub>2</sub> undecaprenyl-diphosphate  &rarr;  (enterobacterial common antigen)<sub>3</sub> undecaprenyl-diphosphate + <i>di-trans,octa-cis</i>-undecaprenyl diphosphate + H<SUP>+</SUP>	C55-PP-GLCNAC-MANNACA-FUC4NAC, CPD0-2135, CPD0-2139, UNDECAPRENYL-DIPHOSPHATE, PROTON	
RXN-22045	&alpha;-D-Fuc4NAc-(1&rarr;4)-&beta;-D-ManNAcA-(1&rarr;4)-GlcNAc-PP-Und + (enterobacterial common antigen)<sub>3</sub> undecaprenyl-diphosphate  &rarr;  (enterobacterial common antigen)<sub>4</sub>-undecaprenyl diphosphate + <i>di-trans,octa-cis</i>-undecaprenyl diphosphate + H<SUP>+</SUP>	C55-PP-GLCNAC-MANNACA-FUC4NAC, CPD0-2139, CPD0-2138, UNDECAPRENYL-DIPHOSPHATE, PROTON	
TRANS-RXN0-279	&alpha;-D-Fuc4NAc-(1&rarr;4)-&beta;-D-ManNAcA-(1&rarr;4)-GlcNAc-PP-Und<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[periplasm]</sub>  &rarr;  &alpha;-D-Fuc4NAc-(1&rarr;4)-&beta;-D-ManNAcA-(1&rarr;4)-GlcNAc-PP-Und<sub>[periplasm]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>	C55-PP-GLCNAC-MANNACA-FUC4NAC, PROTON	
RXN-22310	&alpha;-D-Fuc<i>f</i>-(1&rarr;3)-[&beta;-D-Fuc<i>f</i>-(1&rarr;3)-&beta;-6DManHep-(1&rarr;3)]<sub>n</sub>-&alpha;-D-GlcNAc-PP-undecaprenol + <i>S</i>-adenosyl-L-methionine  &rarr;  <i>S</i>-adenosyl-L-homocysteine + <i>Escherichia coli</i> serotype O:52 O antigen + H<SUP>+</SUP>	E-coli-O52-O-antigen-intermediate, CPD-24309, ADENOSYL-HOMO-CYS, S-ADENOSYLMETHIONINE, PROTON	
TRANS-RXN-436	&alpha;-D-Gal-(1&rarr;3)-(&alpha;-L-Fuc-(1&rarr;2))-&beta;-D-Gal-(1&rarr;3)-&alpha;-D-GalNAc-(1&rarr;3)-&alpha;-D-GalNAc-PP-Und<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[periplasm]</sub>  &rarr;  &alpha;-D-Gal-(1&rarr;3)-(&alpha;-L-Fuc-(1&rarr;2))-&beta;-D-Gal-(1&rarr;3)-&alpha;-D-GalNAc-(1&rarr;3)-&alpha;-D-GalNAc-PP-Und<sub>[periplasm]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>	CPD-15434, PROTON	
TRANS-RXN-443	&alpha;-D-Gal-(1&rarr;4)-&alpha;-Neu5Ac-(2&rarr;3)-&beta;-D-galactosyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-PP-Und<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[periplasm]</sub>  &rarr;  &alpha;-D-Gal-(1&rarr;4)-&alpha;-Neu5Ac-(2&rarr;3)-&beta;-D-galactosyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-PP-Und<sub>[periplasm]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>	CPD-23826, PROTON	
RXN-22152	&alpha;-D-Gal-(1&rarr;6)-&alpha;-D-Glu-(1&rarr;4)-&alpha;-L-Rha-(1&rarr;3)-&alpha;-D-Gal-PP-Und<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[periplasm]</sub>  &rarr;  &alpha;-D-Gal-(1&rarr;6)-&alpha;-D-Glu-(1&rarr;4)-&alpha;-L-Rha-(1&rarr;3)-&alpha;-D-Gal-PP-Und<sub>[periplasm]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>	CPD-24128, PROTON	
TRANS-RXN-440	&alpha;-D-Gal<i>f</i>-(1&rarr;4)-&alpha;-D-Gal-(1&rarr;3)-&beta;-D-ManNAc-(1&rarr;6)-&beta;-D-Gal<i>f</i>-(1&rarr;3)-&alpha;-D-GlcNAc-PP-Und<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[periplasm]</sub>  &rarr;  &alpha;-D-Gal<i>f</i>-(1&rarr;4)-&alpha;-D-Gal-(1&rarr;3)-&beta;-D-ManNAc-(1&rarr;6)-&beta;-D-Gal<i>f</i>-(1&rarr;3)-&alpha;-D-GlcNAc-PP-Und<sub>[periplasm]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>	CPD-24040, PROTON	
TRANS-RXN-429	&alpha;-D-GalA-(1&rarr;3)-&alpha;-D-GalA-(1&rarr;3)-&beta;-D-GlcNAc-(1&rarr;4)-[&beta;-D-Gal-(1&rarr;3)]-&alpha;-D-GalNAc-PP-undecaprenol<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[periplasm]</sub>  &rarr;  &alpha;-D-GalA-(1&rarr;3)-&alpha;-D-GalA-(1&rarr;3)-&beta;-D-GlcNAc-(1&rarr;4)-[&beta;-D-Gal-(1&rarr;3)]-&alpha;-D-GalNAc-PP-undecaprenol<sub>[periplasm]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>	CPD-24001, PROTON	
TRANS-RXN0-491	&alpha;-D-galactofuranose<sub>[periplasm]</sub> + ATP + H<sub>2</sub>O  &rarr;  &alpha;-D-galactofuranose<sub>[cytosol]</sub> + ADP + phosphate + H<SUP>+</SUP>	CPD0-2486, ADP, ATP, WATER, PROTON, Pi	
RXN-22738	&alpha;-D-galactopyranose  &harr;  D-tagatopyranose	ALPHA-D-GALACTOSE, D-tagatopyranose	
GALACTOKIN-RXN	&alpha;-D-galactopyranose + ATP  &harr;  &alpha;-D-galactose 1-phosphate + ADP + H<SUP>+</SUP>	ALPHA-D-GALACTOSE, GALACTOSE-1P, ADP, ATP, PROTON	
2.7.7.32-RXN	&alpha;-D-galactose 1-phosphate + dTTP + H<SUP>+</SUP>  =  dTDP-&alpha;-D-galactose + diphosphate	GALACTOSE-1P, PPI, DTDP-D-GALACTOSE, TTP, PROTON	
RXN-14938	&alpha;-D-galactose 1-phosphate + H<sub>2</sub>O  &rarr;  D-galactopyranose + phosphate	GALACTOSE-1P, D-galactopyranose, WATER, Pi	
UTPHEXPURIDYLYLTRANS-RXN	&alpha;-D-galactose 1-phosphate + UTP + H<SUP>+</SUP>  &harr;  UDP-&alpha;-D-galactose + diphosphate	GALACTOSE-1P, PPI, PROTON, CPD-14553, UTP	
RXN-14816	&alpha;-D-galactose 6-phosphate  &harr;  &beta;-D-galactose 6-phosphate	CPD-1241, CPD-15712	
RXN-11150	&alpha;-D-galacturonate 1-phosphate + H<sub>2</sub>O  &rarr;  D-galactopyranuronate + phosphate	CPD-501, D-Galactopyranuronate, WATER, Pi	
RXN-3	&alpha;-D-galacturonate 1-phosphate + UTP + H<SUP>+</SUP>  &harr;  UDP-&alpha;-D-galacturonate + diphosphate	CPD-501, PPI, PROTON, UDP-D-GALACTURONATE, UTP	
RXN-12175	&alpha;-D-galacturonate-[rhamnogalacturonan I oligosaccharide] + H<sub>2</sub>O  &rarr;  &beta;-D-galacturonate + &alpha;-L-rhamnose-[rhamnogalacturonan I oligosaccharide]	D-galacturonate-rhamnogalacturonan, L-Rhamnose-rhamnogalacturonan, CPD-12524, WATER	
RXN-11459	&alpha;-D-galacturonosyl-(1&rarr;4)-&alpha;-D-galacturonate  &rarr;  D-galactopyranuronate + 4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate	CPD-12435, CPD-13122, D-Galactopyranuronate	
RXN-19792	&alpha;-D-galacturonosyl-(1&rarr;4)-&alpha;-D-galacturonate + H<sub>2</sub>O  &rarr;  2 D-galactopyranuronate	CPD-12435, D-Galactopyranuronate, WATER	
2.4.1.119-RXN	&alpha;-D-Glc-(1&rarr;2)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol + a [protein]-L-asparagine<sub>[rough endoplasmic reticulum lumen]</sub>  &rarr;  a dolichyl diphosphate<sub>[cco-out-cco-rgh-er-lum]</sub> + Glc<sub>3</sub>Man<sub>9</sub>(GlcNAc)<sub>2</sub>-[protein] + H<SUP>+</SUP>	CPD-18076, Dolichol-PP, Protein-L-Asparagine, CPD-18077, PROTON	
3.6.1.44-RXN	&alpha;-D-Glc-(1&rarr;2)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol + H<sub>2</sub>O  =  a dolichyl phosphate + (glucosyl)<SUB>3</SUB>-(mannosyl)<SUB>9</SUB>-(<i>N</i>-acetylglucosaminyl)<SUB>2</SUB>-phosphate + 2 H<SUP>+</SUP>	CPD-18076, GLUCOSYL3-MANNOSYL9-N-ACETYLGLUCOSA, DOLICHOLP, WATER, PROTON	
RXN-5471	&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol<SUB>[rough endoplasmic reticulum lumen]</SUB> + a dolichyl &beta;-D-glucosyl phosphate<SUB>[rough endoplasmic reticulum lumen]</SUB>  &rarr;  &alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol<SUB>[rough endoplasmic reticulum lumen]</SUB> + a dolichyl phosphate<SUB>[rough endoplasmic reticulum lumen]</SUB> + H<SUP>+</SUP><SUB>[rough endoplasmic reticulum lumen]</SUB>	CPD-5170, CPD-5169, CPD-166, DOLICHOLP, PROTON	
RXN0-7341	&alpha;-D-Glc-PP-Und + GDP-&beta;-L-fucose  &rarr;  &alpha;-L-Fuc-(1->3)-&alpha;-D-Glc-PP-Und + GDP + H<SUP>+</SUP>	CPD-12773, CPD0-2660, GDP, CPD-13118, PROTON	
RXN-14572	&alpha;-D-GlcNAc-PP-Und  &rarr;  &alpha;-D-GalNAc-PP-Und	CPD-15430, ACETYL-D-GLUCOSAMINYLDIPHOSPHO-UNDECAPRE	
GLUCISOM-RXN	&alpha;-D-glucopyranose  &harr;  &alpha;-D-fructofuranose	CPD-10723, ALPHA-GLUCOSE	
ALDOSE-1-EPIMERASE-RXN	&alpha;-D-glucopyranose  &harr;  &beta;-D-glucopyranose	ALPHA-GLUCOSE, GLC	
PHOSPHOGLUCMUT-RXN	&alpha;-D-glucopyranose 1-phosphate  &harr;  D-glucopyranose 6-phosphate	GLC-1-P, D-glucopyranose-6-phosphate	
RXN-16999	&alpha;-D-glucopyranose 1-phosphate  =  D-glucopyranose 6-phosphate	GLC-1-P, D-glucopyranose-6-phosphate	
GLUCOSE-16-BISPHOSPHATE-SYNTHASE-RXN	&alpha;-D-glucopyranose 1-phosphate + 3-phospho-D-glyceroyl phosphate  =  &alpha;-D-glucose 1,6-bisphosphate + 3-phospho-D-glycerate + H<SUP>+</SUP>	GLC-1-P, ALPHA-GLUCOSE-16-BISPHOSPHATE, G3P, DPG, PROTON	
PHOSPHOGLUCOKINASE-RXN	&alpha;-D-glucopyranose 1-phosphate + ATP  &rarr;  &alpha;-D-glucose 1,6-bisphosphate + ADP + H<SUP>+</SUP>	GLC-1-P, ALPHA-GLUCOSE-16-BISPHOSPHATE, ADP, ATP, PROTON	
GLUC1PADENYLTRANS-RXN	&alpha;-D-glucopyranose 1-phosphate + ATP + H<SUP>+</SUP>  &rarr;  ADP-&alpha;-D-glucose + diphosphate	GLC-1-P, ADP-D-GLUCOSE, ATP, PPI, PROTON	
2.7.7.33-RXN	&alpha;-D-glucopyranose 1-phosphate + CTP + H<SUP>+</SUP>  &harr;  CDP-&alpha;-D-glucose + diphosphate	GLC-1-P, CDP-D-GLUCOSE, CTP, PPI, PROTON	
2.7.7.34-RXN	&alpha;-D-glucopyranose 1-phosphate + GTP + H<SUP>+</SUP>  &rarr;  GDP-&alpha;-D-glucose + diphosphate	GLC-1-P, PPI, GDP-D-GLUCOSE, GTP, PROTON	
GLUCOSE-1-PHOSPHAT-RXN	&alpha;-D-glucopyranose 1-phosphate + H<sub>2</sub>O  &rarr;  D-glucopyranose + phosphate	GLC-1-P, Glucopyranose, WATER, Pi	
RIBOFLAVIN-PHOSPHOTRANSFERASE-RXN	&alpha;-D-glucopyranose 1-phosphate + riboflavin  =  D-glucopyranose + FMN	GLC-1-P, Glucopyranose, FMN, RIBOFLAVIN	
GLUC1PURIDYLTRANS-RXN	&alpha;-D-glucopyranose 1-phosphate + UTP + H<SUP>+</SUP>  &harr;  UDP-&alpha;-D-glucose + diphosphate	GLC-1-P, PPI, PROTON, CPD-12575, UTP	
RXN-12231	&alpha;-D-glucosamine 1-phosphate + GTP + H<SUP>+</SUP>  &rarr;  GDP-D-glucosamine + diphosphate	GLUCOSAMINE-1P, PPI, CPD-13160, GTP, PROTON	
RXN-16998	&alpha;-D-glucose 1,6-bisphosphate + a phosphoglucomutase  &harr;  D-glucopyranose 6-phosphate + a phosphorylated phosphoglucomutase	ALPHA-GLUCOSE-16-BISPHOSPHATE, D-glucopyranose-6-phosphate	
PGLUCISOM-RXN	&alpha;-D-glucose 6-phosphate  &harr;  &beta;-D-fructofuranose 6-phosphate	ALPHA-GLC-6-P, FRUCTOSE-6P	
GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN	&alpha;-D-glucose 6-phosphate  &harr;  &beta;-D-glucose 6-phosphate	ALPHA-GLC-6-P, GLC-6-P	
RXN-15312	&alpha;-D-glucose 6-phosphate + H<sub>2</sub>O  &rarr;  &alpha;-D-glucopyranose + phosphate	ALPHA-GLUCOSE, ALPHA-GLC-6-P, WATER, Pi	
RXN-13318	&alpha;-D-glucosyl-(1&rarr;3)-<i>N,N'</i>-diacetyl-&alpha;-D-bacillosaminyl-diphospho-<i>di-trans,octa-cis</i>-undecaprenol + a [protein]-L-serine  &rarr;  a 3-<i>O</i>-[&alpha;-D-glucosyl-(1&rarr;3)-<i>N,N'</i>-diacetyl-&beta;-D-bacillosaminyl]-(Ser)-[protein] + <i>di-trans,octa-cis</i>-undecaprenyl diphosphate + H<SUP>+</SUP>	CPD-14297, UNDECAPRENYL-DIPHOSPHATE, Protein-disaccharide-L-ser, Protein-L-serines, PROTON	
RXN-13075	&alpha;-D-glucosyl-(1->3)-L-rhamnose + phosphate  &harr;  L-rhamnopyranose + &beta;-D-glucopyranose 1-phosphate	CPD-14087, CPD-448, L-rhamnopyranose, Pi	
2.7.7.44-RXN	&alpha;-D-glucuronate 1-phosphate + UTP + H<SUP>+</SUP>  &harr;  UDP-&alpha;-D-glucuronate + diphosphate	CPD-510, PPI, PROTON, UDP-GLUCURONATE, UTP	
RXN2DNV-10	&alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-1-PEtN-lipid A (<i>H. pylori</i>) + H<sub>2</sub>O  &rarr;  &alpha;-D-Kdo-(2&rarr;6)-PEtN-lipid A (<i>H. pylori</i>) + 3-deoxy-&alpha;-D-<i>manno</i>-2-octulosonate	CPD2DNV-9, CPD2DNV-11, KDO, WATER	
RXN-11916	&alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-lipid A (<i>E. coli</i>) + H<sub>2</sub>O  &rarr;  3-deoxy-&alpha;-D-<i>manno</i>-2-octulosonate + Kdo-lipid A	KDO2-LIPID-A, KDO, WATER, CPD-12903	
RXN-16281	&alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-lipid A (<i>E. coli</i>)<SUB>[periplasm]</SUB> + <i>di-trans,octa-cis</i>-undecaprenyl diphosphate<SUB>[periplasm]</SUB>  &rarr;  &alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-lipid A 1-diphosphate<SUB>[periplasm]</SUB> + <i>di-trans,octa-cis</i>-undecaprenyl phosphate<SUB>[periplasm]</SUB>	KDO2-LIPID-A, CPD-17530, UNDECAPRENYL-DIPHOSPHATE, CPD-9646	
RXN2DNV-8	&alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-lipid A (<i>H. pylori</i>) + H<sub>2</sub>O  &rarr;  &alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-dephospho-lipid A (<i>H. pylori</i>) + phosphate	CPD2DNV-8, CPD2DNV-7, WATER, Pi	
RXN2DNV-12	&alpha;-D-Kdo-(2&rarr;6)-4'-dephospho-1-PEtN-lipid A (<i>H. pylori</i>) + H<sub>2</sub>O  &rarr;  &alpha;-D-Kdo-(2&rarr;6)-tetra-acylated lipid A (<i>H. pylori</i>) + (3R)-3-(tetradecanoyloxy)octadecanoate + H<SUP>+</SUP>	CPD2DNV-12, CPD2DNV-13, CPD-24810, WATER, PROTON	
RXN2DNV-11	&alpha;-D-Kdo-(2&rarr;6)-PEtN-lipid A (<i>H. pylori</i>) + H<sub>2</sub>O  &rarr;  &alpha;-D-Kdo-(2&rarr;6)-4'-dephospho-1-PEtN-lipid A (<i>H. pylori</i>) + phosphate	CPD2DNV-12, CPD2DNV-11, WATER, Pi	
D-LYXOSE-KETOL-ISOMERASE-RXN	&alpha;-D-lyxopyranose  =  D-xylulose	CPD-227, D-XYLULOSE	
RXN-18913	&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-glucosaminylamine + 8 H<sub>2</sub>O  &rarr;  &beta;-1,4-D-mannopyranosyl-&beta;-1,4-N-acetyl-D-glucosaminyl-&beta;-1,4-N-acetyl-D-glucosaminylamine + 8 &alpha;-D-mannopyranose	CPD-20273, CPD-13559, CPD-20274, WATER	
