Gene Name	Ensembl	GeneCards
G-43976		
EG11590		
HS06971	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000142920'>ENSG00000142920</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ODC-p'>ODC-p</a>
EG11586		
G-81018		
G7135		
G-14820		
G1		
HS11117	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000177000'>ENSG00000177000</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR'>MTHFR</a>
EG11587		
G-15236		
EG11317		
G-44379		
G36		
AT5G22300		
EG10277		
G-9207		
EG10273		
G-480		
EG11528		
G-9820		
EG10217		
G-1601		
EG11318		
G-11825		
YGL012W		
AT1G51680		
EG12221		
G-17903		
EG10274		
G-10236		
EG11531		
G-58183		
EG11284		
G-27135		
YHR190W		
G-10724		
EG12606		
G3O-154		
EG10276		
G-63029		
EG11647		
G-12269		
EG10247		
AT4G17090		
EG11887		
HS02830	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000105929'>ENSG00000105929</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V0A4'>ATP6V0A4</a>
EG12294		
G-12713		
EG10417		
G-347		
EG12688		
G-11		
EG11031		
G-80634		
G7096		
G-43960		
G7104		
HS06771	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000140905'>ENSG00000140905</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=GCSH'>GCSH</a>
G7101		
G-81002		
G7098		
G-14798		
EG11790		
HS10902	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000175264'>ENSG00000175264</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CHST1'>CHST1</a>
G7102		
G-15217		
G7099		
G-44363		
G7106		
AT5G16150		
G7103		
G-9185		
G7100		
G-44755		
EG10838		
G-9797		
G7590		
G-15996		
EG10518		
G-11800		
EG10973		
AT1G32060		
G7662		
G-17887		
EG10519		
G-10216		
EG12267		
G-58160		
G6106		
G-10702		
EG11736		
G1G01-2975		
BSU16760		
G-63011		
G7147		
G-12252		
G6904		
AT4G13510		
G6571		
HS02595		
G6474		
G-27107		
EG10203		
G-12689		
G6092		
G-34635		
EG11893		
G-10984		
G7073		
G-80618		
G6892		
G-43944		
EG11253		
HS06603	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000139287'>ENSG00000139287</a>	
G6422		
G-80986		
EG10379		
G-14775		
EG10377		
HS10685		<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1G2'>ATP6V1G2</a>
EG10378		
G-15201		
G7859		
G-44329		
EG12285		
AT5G11450		
G7516		
G-9152		
EG10456		
G-44739		
G6277		
G-9776		
G7860		
G-15978		
EG12319		
G-11782		
G7517		
AT1G20620		
EG11032		
G-17870		
G7195		
G-10193		
G6661		
G-58144		
G6341		
G-10674		
G7911		
G18NG-9817		
EG12361		
G-62995		
G7553		
G-12235		
EG11444		
AT4G02500		
G7234		
HS02389		
EG10425		
G-261		
G6342		
G-12668		
EG11428		
G-34619		
EG12373		
G-10967		
EG11789		
G-80602		
EG11060		
HS06458	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000138109'>ENSG00000138109</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2C9'>CYP2C9</a>
EG10632		
G-80970		
EG10633		
G-14759		
G7676		
HS10487	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000172318'>ENSG00000172318</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=B3GALT1'>B3GALT1</a>
G7677		
G-43930		
G-9984		
G-15185		
EG10637		
G-44306		
EG12882		
AT5G05690		
EG10961		
G-9120		
G6842		
G-9757		
EG10962		
G-15962		
EG10959		
G-11755		
EG10963		
AT1G15710		
EG10960		
G-17851		
EG10626		
G-10171		
EG11417		
G-58122		
G6862		
G-10657		
EG11442		
G18NG-10215		
EG10585		
G-6081		
EG10371		
G-12217		
EG10326		
AT3G57785		
EG11810		
HS02151		<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=NP'>NP</a>
EG10408		
G-251		
EG10327		
G-12652		
EG10328		
G-34594		
EG12073		
G-10951		
EG11653		
G-80586		
EG11557		
HS06274		<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=GALT'>GALT</a>
EG11559		
G-80954		
EG11556		
G-14741		
EG10160		
HS10272	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000171234'>ENSG00000171234</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT2B7'>UGT2B7</a>
EG11102		
G-43914		
EG10660		
G-15166		
EG12381		
G-44290		
EG11045		
G-9096		
EG10030		
G-9728		
EG10994		
G-15943		
EG11332		
G-11733		
EG10219		
AT1G08980		
G6358		
G-44708		
EG11265		
G-17834		
EG10661		
G-10155		
EG10051		
G-5704		
EG20098		
G-10632		
EG11082		
G18C3-41		
EG10422		
G-122		
EG12030		
AT3G51160		
EG11002		
HS02028	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000100294'>ENSG00000100294</a>	
EG10414		
G-2423		
EG11701		
G-12633		
EG10225		
G-5981		
EG11418		
G-34572		
EG10220		
G-10932		
G85		
G-80570		
EG11326		
HS06066		
EG10137		
G-80937		
EG20257		
G-14710		
EG11090		
HS10030		
EG10039		
G-43897		
EG12302		
G-15150		
EG11934		
G-44273		
EG10251		
G-9080		
EG11539		
G-9709		
EG10810		
G-15922		
EG10221		
G-11715		
G-6361		
AT1G03630		
EG10725		
G-44692		
EG10721		
G-17818		
EG11403		
G-10139		
EG10718		
G-55300		
EG10738		
G18C3-38		
EG10727		
G-12184		
EG11510		
AT3G43190		
EG10719		
HS01894	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000099381'>ENSG00000099381</a>	
EG10716		
G-2341		
EG10755		
G-1261		
EG10723		
G-10611		
EG10720		
G-58857		
EG10717		
G-34556		
EG10191		
G-10913		
G-7984		
G-80554		
EG10186		
HS05911	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000134780'>ENSG00000134780</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=C11orf11'>C11orf11</a>
EG10089		
G-14679		
BSU39510		
HS09822		
G6906		
G-43881		
G6477		
G-15130		
EG10194		
G-80924		
EG10189		
G-44257		
EG11955		
G-9052		
BSU39520		
G-15551		
G6952		
G-11682		
EG10395		
AG11		
EG10190		
G-44676		
G-7983		
G-17800		
EG10185		
G-10119		
G7455		
G-55184		
EG10043		
G18C3-3		
EG11414		
G-12166		
EG10424		
AT3G23630		
EG10244		
HS01688		
EG10239		
G-2286		
EG10837		
G-12590		
EG10764		
G-10591		
EG11500		
G-58841		
EG10746		
G-34540		
EG11412		
G-10894		
EG10245		
G-80536		
EG10242		
HS05635	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000132437'>ENSG00000132437</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=DDC'>DDC</a>
EG10236		
G-14660		
EG10765		
HS09641	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000167792'>ENSG00000167792</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFV1'>NDUFV1</a>
EG11505		
G-43864		
EG11413		
G-15107		
EG10423		
G-11369		
EG10238		
G-80907		
EG10763		
G-44238		
EG10534		
G-9033		
EG10037		
G-15531		
EG11058		
G-11642		
EG10986		
G-44660		
EG11871		
G-17782		
EG10624		
G-101		
EG11222		
G-9659		
BSU00880		
G-55166		
EG12717		
G18C3-140		
EG10625		
G-12144		
EG11281		
AT3G19270		
EG10329		
G-2225		
EG10736		
G-12563		
G6383		
G-10571		
EG10627		
G-58818		
EG11014		
G-34523		
EG10894		
G-10878		
EG10895		
HS01538	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000086619'>ENSG00000086619</a>	
G6673		
G-80519		
EG11013		
HS05502		
EG10893		
G-14640		
G7422		
HS09519		
G6449		
G-43848		
EG11362		
G-15086		
EG10862		
G-11339		
G7845		
G-80891		
G7325		
G-44219		
G6245		
G-9012		
EG12044		
G-15514		
EG10690		
G-11603		
G7714		
G-44638		
EG11921		
G-17762		
EG11177		
G-10084		
EG10454		
G-9634		
G7698		
G-55146		
G7008		
G185E-8098		
EG12433		
G-12124		
EG11779		
AT3G14440		
EG11085		
G-213		
EG10343		
G-12544		
G7456		
G-10546		
G6675		
G-58803		
EG11538		
G-34506		
G7431		
G-10856		
G6488		
HS01337	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000079785'>ENSG00000079785</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX1'>DDX1</a>
EG12207		
G-80503		
EG11372		
HS05379	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000130383'>ENSG00000130383</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=FUT5'>FUT5</a>
G7950		
G-14620		
G7327		
G-43832		
G6364		
G-15070		
EG12098		
G-11323		
EG11311		
G-80875		
EG10812		
G-44203		
G7750		
HS09332	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000166123'>ENSG00000166123</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT2'>GPT2</a>
G7199		
G-8985		
EG11932		
G-15495		
EG11247		
G-11585		
EG10523		
G-44621		
G7712		
G-17743		
EG12609		
G-10067		
EG11794		
G-9606		
EG11118		
G-55128		
EG10375		
G185E-7838		
G7603		
G-12099		
EG12366		
AT3G10160		
EG11757		
G-206		
EG11022		
G-12526		
G7449		
G-10526		
G6501		
G-58786		
EG12216		
G-34490		
EG11503		
G-10829		
EG10967		
HS01140	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000074416'>ENSG00000074416</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=MGLL'>MGLL</a>
G7349		
G-80486		
G6416		
HS05246	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000129151'>ENSG00000129151</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=BBOX1'>BBOX1</a>
EG12163		
G-146		
EG11344		
G-43808		
EG10858		
G-15052		
G7843		
G-11278		
G7297		
G-80859		
G6238		
G-44187		
EG12022		
HS09158	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000164919'>ENSG00000164919</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=COX6C'>COX6C</a>
EG11254		
G-8825		
G7713		
YPR167C		
EG12876		
G-15479		
EG11888		
G-11568		
EG11171		
G-44605		
EG10376		
G-17721		
G7641		
G-10051		
EG12401		
G-9585		
EG11768		
G-55110		
EG11023		
G185E-7793		
EG10136		
G-12082		
G7452		
AT3G02870		
G6581		
G-1981		
EG12233		
G-12504		
EG11507		
G-10505		
EG10996		
G-58770		
EG10997		
G-34473		
EG30105		
G-10810		
EG30062		
HS00966		
EG30030		
G-80469		
G7020		
HS05096		
EG30092		
G-14583		
EG30031		
G-43792		
EG11268		
G-15030		
G7021		
G-11256		
EG30093		
G-80844		
EG30061		
G-44170		
EG12167		
HS08990	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000164047'>ENSG00000164047</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMP'>CAMP</a>
G6746		
G-864		
G7525		
YNR012W		
EG10553		
G-15462		
EG10492		
G-11552		
EG11067		
G-44588		
EG10409		
G-17705		
EG10196		
G-10035		
EG10770		
G-9559		
EG10071		
G-55084		
EG10586		
G185E-7213		
EG10532		
G-12066		
EG10410		
AT2G45970		
EG11030		
G-19		
EG10390		
G-12483		
EG10943		
G-10485		
EG10094		
G-58754		
EG10709		
G-331		
EG10552		
G-10791		
EG10453		
HS00858	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000065911'>ENSG00000065911</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFD2'>MTHFD2</a>
EG11043		
G-80452		
EG10947		
HS04742		
EG10097		
G-14551		
EG10710		
G-43775		
EG12424		
G-15014		
EG11430		
G-11238		
EG10570		
G-80828		
G7111		
G-44154		
EG10852		
HS08750	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000162885'>ENSG00000162885</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=MGC39558'>MGC39558</a>
G6435		
G-8381		
G6339		
YML100W		
EG12449		
G-15443		
EG11440		
G-11534		
BSU10250		
G-44571		
G7201		
G-17689		
EG10488		
G-10012		
G6924		
G-9542		
G6468		
G-55061		
G6340		
G185E-6687		
BSU37640		
G-12050		
G7105		
AT2G39770		
G6969		
G-182		
EG10851		
G-12464		
G6503		
G-10460		
G7748		
G-58737		
G6356		
G-326		
EG10484		
G-10767		
EG12352		
HS00644		
EG11070		
G-80434		
EG12132		
HS04546		
EG10758		
G-14518		
G7865		
G-43759		
G6154		
G-14998		
EG10455		
G-11219		
EG11080		
G-80811		
EG10243		
G-44138		
EG10985		
HS08550	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000241468'>ENSG00000241468</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5J2'>ATP5J2</a>
EG12130		
G-814		
EG10689		
YKL067W		
G7414		
G-15428		
G6333		
G-11509		
EG11663		
G-44553		
EG10461		
G-17672		
EG10240		
EAS		
EG12131		
G-9519		
EG10757		
G-55044		
EG11497		
G185E-5942		
G7056		
G-12030		
G7345		
AT2G35020		
EG11116		
G-18077		
G6318		
G-12439		
G7836		
G-10436		
G7350		
G-58354		
EG11207		
G-316		
EG10850		
G-107553		
BSU27360		
G-18074		
EG12007		
G-12436		
EG11211		
G-10433		
EG12270		
G-58351		
EG12331		
G-3142		
G6370		
G-107550		
EG10670		
HS00459	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000027847'>ENSG00000027847</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=B4GALT7'>B4GALT7</a>
EG11009		
G-80411		
EG10671		
HS04276		
G6531		
G-14499		
EG10729		
G-43740		
EG12347		
G-14979		
EG10783		
G-11190		
G6752		
G-80792		
EG12041		
G-44119		
G6411		
HS08399	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000159399'>ENSG00000159399</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=HK2'>HK2</a>
EG11680		
G-81168		
EG12628		
YGR247W		
EG11621		
G-1541		
EG12358		
G-11488		
EG10128		
G-44534		
EG12304		
G-17655		
G6800		
BSU07000		
G6429		
G-9488		
EG11624		
G-55021		
EG12518		
G185E-5349		
EG11048		
G-12008		
EG10152		
AT2G28880		
EG12305		
G-18058		
G6574		
G-1242		
EG12010		
G-10405		
EG12627		
G-58335		
EG11572		
G-304		
EG12556		
G-107531		
EG12494		
HS00336	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779'>ENSG00000012779</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX5'>ALOX5</a>
G7856		
G-80395		
G-17781		
HS04134	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000117450'>ENSG00000117450</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDX1'>PRDX1</a>
EG11863		
G-14473		
EG12495		
G-43722		
G0-10241		
G-14960		
EG11791		
G-11171		
EG12554		
G-80776		
EG12322		
G-44103		
EG11908		
HS08206	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000157350'>ENSG00000157350</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SIAT4B'>SIAT4B</a>
G-17780		
G-81152		
EG11792		
YFL053W		
EG11167		
G-15387		
G7107		
G-11469		
G7711		
G-44510		
G6859		
G-17640		
G7708		
BBE		
EG12173		
G-9460		
G7702		
G-55005		
G6984		
G185E-4233		
G7709		
G-11989		
G6431		
AT2G25710		
G7706		
G-18040		
EG11671		
G-12404		
G7703		
G-10388		
G7710		
G-58318		
G6458		
G-2969		
G7707		
G-107517		
G7704		
HS00145	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000005483'>ENSG00000005483</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=MLL5'>MLL5</a>
EG11529		
G-7842		
EG10013		
HS04044		
EG10955		
G-1382		
EG12111		
G-43704		
EG10599		
G-14944		
EG11494		
G-11153		
EG11003		
G-80760		
EG12297		
G-44085		
EG10600		
HS08007	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000154743'>ENSG00000154743</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=MGC2776'>MGC2776</a>
EG10157		
G-81136		
EG10595		
YDR272W		
G7193		
G-15359		
EG11404		
G-11450		
EG12394		
G-44489		
EG11831		
G-17624		
G7194		
ATCG00270		
G7059		
G-9444		
G198		
G-54990		
BSU07630		
G-9971		
EG11470		
G-11964		
G7060		
AT2G20370		
G58		
G-18024		
EG10129		
G-12389		
G-107410		
G-10368		
G6109		
G-58302		
G6110		
G-288		
EG11426		
G-107501		
EG11351		
HS00037	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000273397'>ENSG00000273397</a> // <a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000281013'>ENSG00000281013</a> // <a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000277365'>ENSG00000277365</a> // <a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000272765'>ENSG00000272765</a> // <a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000184983'>ENSG00000184983</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA6'>NDUFA6</a>
EG11339		
G-7121		
EG11189		
HS03941	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000115828'>ENSG00000115828</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=QPCT'>QPCT</a>
EG12210		
G-130		
EG11352		
G-436		
EG11340		
G-14915		
EG11455		
G-11135		
EG11425		
G-80744		
EG11353		
G-44069		
EG11341		
HS07771		
G-81120		
YBR038W		
G-15342		
G-11429		
G-44473		
G-1741		
AT5G62790		
G-9422		
G-54974		
G-9951		
G-11944		
AT2G06925		
G-18007		
G-12373		
G-10351		
G-58286		
G-2724		
G-107487		
HS00017		<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=HGNT-IV-H'>HGNT-IV-H</a>
G-6781		
HS03788		
G-12810		
G-420		
G-14896		
G-11118		
G-80728		
G-44053		
HS07692		
G-81104		
SYNPCC7942_0970		
G-15323		
G-11409		
G-44457		
G-166		
AT5G56300		
G-9390		
G-547		
G-9934		
G-11927		
AT1G79500		
G-17993		
G-12357		
G-10335		
G-58270		
G-27216		
G-107470		
GMETA-14694		
G-6602		
HS03652		
G-12793		
G-404		
G-14880		
G-11102		
G-80712		
G-44037		
HS07522		
G-81079		
STM2082		
G-15307		
G-11392		
G-44441		
G-16084		
AT5G50210		
G-9342		
G-527		
G-9916		
G-11900		
AT1G77090		
G-17974		
G-12340		
G-10318		
G-58253		
G-27201		
G-107456		
GGPS1-C		
G-636		
AT4G36480		
HS03475	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000111846'>ENSG00000111846</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=GCNT2'>GCNT2</a>
G-12776		
G-387		
G-14864		
G-11078		
G-80695		
G-44021		
HS07403		
G-81063		
SCO2785		
G-15292		
G-44425		
G-16066		
AT5G44630		
G-9307		
G-5181		
G-9898		
G-11879		
AT1G70560		
G-17955		
G-12315		
G-10292		
G-58237		
G-27185		
G-107441		
G66-37872		
G-63074		
AT4G34050		
HS03347	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000110871'>ENSG00000110871</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=MGC4767'>MGC4767</a>
G-12760		
G-3782		
G-14846		
G-11050		
G-80679		
G-44005		
HS07223	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000145020'>ENSG00000145020</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=AMT'>AMT</a>
G-81046		
HS15341		
G-15271		
G-44410		
G-16044		
AT5G38450		
G-9254		
G-509		
G-9872		
G-11860		
AT1G67090		
G-17933		
G-10272		
G-58213		
G-27168		
G-107426		
G3O-33331		
G-63056		
G-123		
AT4G29210		
HS03223	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000109390'>ENSG00000109390</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFC1'>NDUFC1</a>
G-12742		
G-369		
G-11030		
G-80663		
G-43989		
HS07104	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000143774'>ENSG00000143774</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=GUK1'>GUK1</a>
G-81031		
HS11411		
G-15251		
G-44394		
G-1602		
AT5G27380		
G-9234		
G-495		
G-9838		
G-11843		
AT1G59500		
G-17916		
G-10250		
G-58197		
G-27149		
G-10739		
G3O-31725		
G-63041		
G-12283		
AT4G24220		
HS02989	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000107317'>ENSG00000107317</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGDS'>PTGDS</a>
G-12726		
G-359		
G-11012		
G-80647		
G-43973		
HS06899	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000142168'>ENSG00000142168</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1'>SOD1</a>
G-81015		
G-14817		
HS11091		<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT1A2'>SULT1A2</a>
G-15232		
G-44376		
AT5G20830		
G-9204		
G-4761		
G-9817		
G-16007		
G-11819		
AT1G50430		
G-17900		
G-10233		
G-58180		
G-27132		
G-10720		
G1G01-5615		
G-63024		
G-12266		
AT4G16740		
HS02790		
G-12704		
G-34648		
G-10997		
G-80631		
G-43957		
HS06733		
G-80999		
G-14795		
HS10869	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000175040'>ENSG00000175040</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CHST2'>CHST2</a>
G-15214		
G-44360		
AT5G14760		
G-9181		
G-44752		
G-9793		
G-15993		
G-11798		
AT1G30620		
G-17883		
G-10211		
G-58157		
G-10697		
G1G01-2972		
G-63008		
G-12249		
AT4G13250		
HS02532	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000103740'>ENSG00000103740</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=BG1'>BG1</a>
G-27104		
G-12684		
G-34632		
G-10980		
G-80615		
HS06583		
G-80983		
G-14772		
HS10620	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000173120'>ENSG00000173120</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXL11'>FBXL11</a>
G-15199		
G-44325		
AT5G09640		
G-9148		
G-44736		
G-9773		
G-15975		
G-11779		
AT1G20050		
G-17867		
G-10189		
G-58138		
G-10670		
G18NG-12642		
G-62992		
G-12232		
AT4G00550		
HS02336	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000102030'>ENSG00000102030</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ARD1'>ARD1</a>
G-258		
G-12665		
G-34616		
G-10964		
G-80599		
HS06436	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000138029'>ENSG00000138029</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=HADHB'>HADHB</a>
G-80967		
G-14756		
HS10422	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000171954'>ENSG00000171954</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP4F22'>CYP4F22</a>
G-43927		
G-15182		
G-44303		
AT5G04900		
G-9117		
G-9745		
G-15956		
G-11752		
AT1G15080		
G-44722		
G-17848		
G-10168		
G-58119		
G-10654		
G18C3-8		
G-6063		
G-12214		
AT3G56650		
